DATE      ,   HERO TG  ,,,,,
04/21/2020,11.70,,,,,
04/22/2020,7.92,,,,,
04/23/2020,11.17,,,,,
04/24/2020,11.52,,,,,
04/25/2020,11.81,,,,,
04/26/2020,12.44,,,,,
04/27/2020,13.71,,,,,
04/28/2020,13.26,,,,,
04/29/2020,15.95,,,,,
04/30/2020,10.03,,,,,
05/01/2020,11.48,,,,,
05/02/2020,13.25,,,,,
05/03/2020,7.99,,,,,
05/04/2020,11.97,,,,,
05/05/2020,15.05,,,,,
05/06/2020,7.38,,,,,
05/07/2020,9.91,,,,,
05/08/2020,13.78,,,,,
05/09/2020,16.15,,,,,
05/10/2020,17.50,,,,,
05/11/2020,15.15,,,,,
05/12/2020,9.75,,,,,
05/13/2020,10.37,,,,,
05/14/2020,10.79,,,,,
05/15/2020,11.74,,,,,
05/16/2020,14.49,,,,,
05/17/2020,8.91,,,,,
05/18/2020,10.51,,,,,
05/19/2020,9.20,,,,,
05/20/2020,9.50,,,,,
05/21/2020,7.97,,,,,
05/22/2020,9.35,,,,,
05/23/2020,10.78,,,,,
05/24/2020,14.67,,,,,
05/25/2020,13.42,,,,,
05/26/2020,18.95,,,,,
05/27/2020,16.70,,,,,
05/28/2020,18.00,,,,,
05/29/2020,21.76,,,,,
05/30/2020,20.34,,,,,
05/31/2020,12.39,,,,,
06/01/2020,16.84,,,,,
06/02/2020,16.00,,,,,
06/03/2020,16.55,,,,,
06/04/2020,16.17,,,,,
06/05/2020,12.48,,,,,
06/06/2020,11.48,,,,,
06/07/2020,8.69,,,,,
06/08/2020,8.96,,,,,
06/09/2020,11.55,,,,,
06/10/2020,21.01,,,,,
06/11/2020,22.45,,,,,
06/12/2020,18.05,,,,,
06/13/2020,10.89,,,,,
06/14/2020,10.31,,,,,
06/15/2020,11.32,,,,,
06/16/2020,10.73,,,,,
06/17/2020,15.42,,,,,
06/18/2020,19.30,,,,,
06/19/2020,18.35,,,,,
06/20/2020,22.07,,,,,
06/21/2020,21.93,,,,,
06/22/2020,20.43,,,,,
06/23/2020,20.25,,,,,
06/24/2020,26.00,,,,,
06/25/2020,22.00,,,,,
06/26/2020,23.41,,,,,
06/27/2020,19.86,,,,,
06/28/2020,11.89,,,,,
06/29/2020,19.97,,,,,
06/30/2020,16.47,,,,,
07/01/2020,13.27,,,,,
07/02/2020,17.72,,,,,
07/03/2020,17.22,,,,,
07/04/2020,18.10,,,,,
07/05/2020,19.03,,,,,
07/06/2020,20.96,,,,,
07/07/2020,18.12,,,,,
07/08/2020,16.93,,,,,
07/09/2020,19.30,,,,,
07/10/2020,21.07,,,,,
07/11/2020,20.37,,,,,
07/12/2020,20.47,,,,,
07/13/2020,15.40,,,,,
07/14/2020,18.00,,,,,
07/15/2020,19.39,,,,,
07/16/2020,24.06,,,,,
07/17/2020,25.47,,,,,
07/18/2020,20.40,,,,,
07/19/2020,21.70,,,,,
07/20/2020,22.51,,,,,
07/21/2020,24.15,,,,,
07/22/2020,28.01,,,,,
07/23/2020,24.76,,,,,
07/24/2020,22.81,,,,,
07/25/2020,18.38,,,,,
07/26/2020,18.26,,,,,
07/27/2020,19.90,,,,,
07/28/2020,27.80,,,,,
07/29/2020,24.22,,,,,
07/30/2020,25.77,,,,,
07/31/2020,29.54,,,,,
08/01/2020,28.47,,,,,
08/02/2020,24.73,,,,,
08/03/2020,23.36,,,,,
08/04/2020,21.61,,,,,
08/05/2020,22.28,,,,,
08/06/2020,20.22,,,,,
08/07/2020,15.55,,,,,
08/08/2020,21.24,,,,,
08/09/2020,19.75,,,,,
08/10/2020,19.02,,,,,
08/11/2020,24.63,,,,,
08/12/2020,19.28,,,,,
08/13/2020,16.72,,,,,
08/14/2020,18.51,,,,,
08/15/2020,18.15,,,,,
08/16/2020,22.52,,,,,
08/17/2020,24.66,,,,,
08/18/2020,29.08,,,,,
08/19/2020,26.89,,,,,
08/20/2020,27.13,,,,,
08/21/2020,23.24,,,,,
08/22/2020,22.25,,,,,
08/23/2020,18.00,,,,,
08/24/2020,23.16,,,,,
08/25/2020,22.10,,,,,
08/26/2020,20.80,,,,,
08/27/2020,21.06,,,,,
08/28/2020,18.44,,,,,
08/29/2020,21.57,,,,,
08/30/2020,14.94,,,,,
08/31/2020,22.02,,,,,
