DATE      ,   ONTO TG  ,,,,,
04/21/2020,13.24,,,,,
04/22/2020,10.06,,,,,
04/23/2020,7.92,,,,,
04/24/2020,9.01,,,,,
04/25/2020,12.22,,,,,
04/26/2020,12.20,,,,,
04/27/2020,11.15,,,,,
04/28/2020,12.78,,,,,
04/29/2020,16.10,,,,,
04/30/2020,10.58,,,,,
05/01/2020,11.04,,,,,
05/02/2020,14.16,,,,,
05/03/2020,7.81,,,,,
05/04/2020,9.81,,,,,
05/05/2020,16.25,,,,,
05/06/2020,8.58,,,,,
05/07/2020,9.28,,,,,
05/08/2020,13.85,,,,,
05/09/2020,14.76,,,,,
05/10/2020,17.55,,,,,
05/11/2020,16.73,,,,,
05/12/2020,10.32,,,,,
05/13/2020,7.40,,,,,
05/14/2020,5.39,,,,,
05/15/2020,9.19,,,,,
05/16/2020,12.50,,,,,
05/17/2020,16.33,,,,,
05/18/2020,3.74,,,,,
05/19/2020,6.14,,,,,
05/20/2020,1.61,,,,,
05/21/2020,4.75,,,,,
05/22/2020,4.69,,,,,
05/23/2020,9.08,,,,,
05/24/2020,12.42,,,,,
05/25/2020,15.35,,,,,
05/26/2020,18.09,,,,,
05/27/2020,19.52,,,,,
05/28/2020,19.22,,,,,
05/29/2020,23.92,,,,,
05/30/2020,25.81,,,,,
05/31/2020,21.05,,,,,
06/01/2020,22.03,,,,,
06/02/2020,18.18,,,,,
06/03/2020,22.73,,,,,
06/04/2020,20.40,,,,,
06/05/2020,18.00,,,,,
06/06/2020,18.00,,,,,
06/07/2020,18.00,,,,,
06/08/2020,18.00,,,,,
06/09/2020,18.00,,,,,
06/10/2020,18.00,,,,,
06/11/2020,18.00,,,,,
06/12/2020,18.00,,,,,
06/13/2020,18.00,,,,,
06/14/2020,18.00,,,,,
06/15/2020,18.00,,,,,
06/16/2020,7.60,,,,,
06/17/2020,10.80,,,,,
06/18/2020,14.08,,,,,
06/19/2020,16.55,,,,,
06/20/2020,20.14,,,,,
06/21/2020,21.64,,,,,
06/22/2020,21.01,,,,,
06/23/2020,22.45,,,,,
06/24/2020,22.81,,,,,
06/25/2020,24.58,,,,,
06/26/2020,23.85,,,,,
06/27/2020,25.01,,,,,
06/28/2020,11.50,,,,,
06/29/2020,4.63,,,,,
06/30/2020,13.53,,,,,
07/01/2020,12.67,,,,,
07/02/2020,15.10,,,,,
07/03/2020,18.00,,,,,
07/04/2020,23.25,,,,,
07/05/2020,21.08,,,,,
07/06/2020,21.38,,,,,
07/07/2020,21.99,,,,,
07/08/2020,18.28,,,,,
07/09/2020,18.00,,,,,
07/10/2020,21.92,,,,,
07/11/2020,19.73,,,,,
07/12/2020,24.09,,,,,
07/13/2020,19.53,,,,,
07/14/2020,19.31,,,,,
07/15/2020,19.77,,,,,
07/16/2020,21.83,,,,,
07/17/2020,27.01,,,,,
07/18/2020,22.53,,,,,
07/19/2020,23.85,,,,,
07/20/2020,23.64,,,,,
07/21/2020,24.16,,,,,
07/22/2020,25.09,,,,,
07/23/2020,24.96,,,,,
07/24/2020,21.15,,,,,
07/25/2020,22.23,,,,,
07/26/2020,21.68,,,,,
07/27/2020,20.46,,,,,
07/28/2020,25.81,,,,,
07/29/2020,22.48,,,,,
07/30/2020,25.35,,,,,
07/31/2020,24.11,,,,,
08/01/2020,27.47,,,,,
08/02/2020,27.38,,,,,
08/03/2020,28.01,,,,,
08/04/2020,24.52,,,,,
08/05/2020,22.69,,,,,
08/06/2020,26.13,,,,,
08/07/2020,18.18,,,,,
08/08/2020,19.56,,,,,
08/09/2020,23.83,,,,,
08/10/2020,22.17,,,,,
08/11/2020,19.70,,,,,
08/12/2020,20.41,,,,,
08/13/2020,18.64,,,,,
08/14/2020,18.78,,,,,
08/15/2020,18.02,,,,,
08/16/2020,22.84,,,,,
08/17/2020,24.92,,,,,
08/18/2020,24.77,,,,,
08/19/2020,25.38,,,,,
08/20/2020,22.98,,,,,
08/21/2020,20.90,,,,,
08/22/2020,24.80,,,,,
08/23/2020,21.82,,,,,
08/24/2020,22.72,,,,,
08/25/2020,22.56,,,,,
08/26/2020,23.31,,,,,
08/27/2020,24.76,,,,,
08/28/2020,20.58,,,,,
08/29/2020,18.00,,,,,
08/30/2020,18.86,,,,,
08/31/2020,14.20,,,,,
